func,K,board_cyc_net_median,board_cyc_min,board_cyc_max,board_ns,model_cyc,model_ns_1p8G,model_ns_1p65G,err_pct_1p8G,err_pct_1p65G
m_main_ld_diff_k1,1,273.208,267.66600000000005,288.33399999999995,273.83782700210486,480,266.6666666666667,290.90909090909093,-2.6187617736913507,6.234078065063983
m_main_ld_diff_k2,2,359.70849999999996,357.083,370.5,360.53773679462756,481,267.22222222222223,291.51515151515156,-25.882315510722936,-19.144344193515924
m_main_ld_diff_k4,4,716.208,700.25,736.1659999999999,717.8590758745114,983,546.1111111111111,595.7575757575758,-23.925025194419007,-17.009118393911642
m_main_ld_diff_k8,8,1024.083,985.667,1067.5839999999998,1026.443820787812,2587,1437.2222222222222,1567.878787878788,40.01956981134449,52.74862161237582
m_main_ld_same_k1,1,273.91650000000004,261.833,287.417,274.54796030871006,480,266.6666666666667,290.90909090909093,-2.8706436693907356,5.959297815210109
m_main_ld_same_k2,2,277.79150000000004,259.75,282.25,278.43189335471584,485,269.44444444444446,293.93939393939394,-3.2278805427011834,5.569584862507794
m_main_ld_same_k4,4,281.25,271.66600000000005,296.25,281.89836624235744,495,275.0,300.0,-2.4471111111111172,6.421333333333326
m_main_ld_same_k8,8,287.58349999999996,275.0,306.0,288.2464668738097,515,286.1111111111111,312.1212121212121,-0.7408089978891058,8.282753820484622
m_main_st_diff_k1,1,33.667,27.084000000000003,37.833,33.744612609000704,480,266.6666666666667,290.90909090909093,690.2496014890941,762.0904743517392
m_main_st_diff_k2,2,91.417,75.75,112.833,91.62774381076476,552,306.6666666666667,334.54545454545456,234.68756722856074,265.1137097038844
m_main_st_diff_k4,4,177.375,165.166,204.583,177.78390297684675,571,317.22222222222223,346.06060606060606,78.43135228251508,94.65238430819826
m_main_st_diff_k8,8,378.45899999999995,367.083,408.167,379.33146236343583,1003,557.2222222222222,607.8787878787879,46.89586219672704,60.250031487338596
m_main_st_same_k1,1,31.7915,23.0,39.583,31.864789014733887,480,266.6666666666667,290.90909090909093,736.8693938107147,812.9484296116888
m_main_st_same_k2,2,47.2085,41.167,55.667,47.317329858674945,482,267.77777777777777,292.1212121212121,465.91903764976416,517.3662228906518
m_main_st_same_k4,4,46.0415,25.334000000000003,56.5,46.14763957101333,486,270.0,294.54545454545456,485.0786790178427,538.2676498376466
m_main_st_same_k8,8,33.7495,26.415999999999997,38.0,33.827302796431795,494,274.44444444444446,299.39393939393943,711.3104556281492,785.0659515943446
m_simt_ld_contig_k1,1,301.917,292.41700000000003,308.167,302.61300992282247,550,305.55555555555554,333.33333333333337,0.9723790902061779,10.15168628022494
m_simt_ld_contig_k2,2,300.375,294.33399999999995,312.83399999999995,301.0674551468377,552,306.6666666666667,334.54545454545456,1.8597863781384578,11.119766957969226
m_simt_ld_contig_k4,4,363.70849999999996,350.75,372.58399999999995,364.5469580034078,556,308.88888888888886,336.969696969697,-15.267736540541543,-7.564803498772575
m_simt_ld_contig_k8,8,458.79150000000004,451.5,472.25,459.8491530520197,564,313.3333333333333,341.8181818181818,-31.861713508932354,-25.667323827926204
m_simt_ld_strided_k1,1,507.79200000000003,483.91700000000003,515.0,508.9626140122281,620,344.44444444444446,375.75757575757575,-32.32421498916441,-26.171870897270267
m_simt_ld_strided_k2,2,562.6255000000001,540.0,582.5,563.9225218001403,920,511.1111111111111,557.5757575757576,-9.365011796380445,-1.1254674142332004
m_simt_ld_strided_k4,4,1055.5004999999999,1031.8339999999998,1081.167,1057.9337476195246,1520,844.4444444444445,921.2121212121212,-20.179836748327222,-12.923458270902419
m_simt_ld_strided_k8,8,1706.2085,1656.3339999999998,1760.917,1710.1418262002605,3220,1788.888888888889,1951.5151515151517,4.604709473926811,14.114228517011076
m_simt_ld_uni_diff_k1,1,288.292,272.0,295.75,288.9566001804149,550,305.55555555555554,333.33333333333337,5.744445831926592,15.357577271192666
m_simt_ld_uni_diff_k2,2,291.04200000000003,284.16700000000003,321.41700000000003,291.71293976145137,552,306.6666666666667,334.54545454545456,5.126178810389333,14.683104156788362
