definition,device,phase,nodes,passed,failed,skipped,xfailed,xpassed,error,timeout,crash,unexecuted
python/test/unit/cuda/test_libdevice.py::test_math_extern,npu_or_frontend,original-default,4,0,0,4,0,0,0,0,0,0
python/test/unit/cuda/test_mixed_io.py::test_add,npu_or_frontend,original-default,2,0,2,0,0,0,0,0,0,0
python/test/unit/cuda/test_mixed_io.py::test_load_reduce,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/cuda/test_tensor_descriptor.py::test_specialization_after_host_tensordesc,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/cuda/test_tma_descriptor.py::test_1d_tma_descriptor_exception,npu_or_frontend,original-default,3,0,0,3,0,0,0,0,0,0
python/test/unit/cuda/test_tma_descriptor.py::test_2d_tma_descriptor_exception,npu_or_frontend,original-default,9,0,0,9,0,0,0,0,0,0
python/test/unit/cuda/test_tma_descriptor.py::test_ragged_tma,npu_or_frontend,original-default,12,0,0,12,0,0,0,0,0,0
python/test/unit/cuda/test_tma_store_gemm.py::test_tma_load_store,npu_or_frontend,original-default,8,0,8,0,0,0,0,0,0,0
python/test/unit/instrumentation/test_gpuhello.py::test_op,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_annotations.py::test_int_annotation,npu_or_frontend,original-default,9,9,0,0,0,0,0,0,0,0
python/test/unit/language/test_annotations.py::test_unknown_annotation,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_annotations.py::test_float_annotation,npu_or_frontend,original-default,16,6,10,0,0,0,0,0,0,0
python/test/unit/language/test_block_pointer.py::test_block_copy,npu_or_frontend,original-default,270,225,0,45,0,0,0,0,0,0
python/test/unit/language/test_block_pointer.py::test_block_ptr_matmul_no_scf,npu_or_frontend,original-default,6,6,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_undefined_variable,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_in_binary_operator,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_static_assert,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_in_unary_op,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_in_binary_op,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_in_nested_call,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_in_builtin,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_two_returns_no_err,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_not_const_annotate_no_err,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_returns_branched_on_constexpr,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_returns_branched_on_non_constexpr,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_power_of_two_shapes,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_power_of_two_shapes_2,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_global_var_access,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_constexpr_annotated_global_var_access,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_constexpr_global_var_access,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_global_type_alias_access,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_global_access_in_fn_default_arg,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_defaults_assign_no_err,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_where_warning,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_fp8_support,npu_or_frontend,original-default,5,1,4,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_min_dot_size,npu_or_frontend,original-default,3,0,0,3,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_max_num_imprecise_acc_limit,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_unused_result,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_err_constexpr_and_do_not_specialize,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_errors.py::test_dot_scaled_shape_verification,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_only.py::test_compile_only_sm100,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_only.py::test_compile_only_dot,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_only.py::test_compile_only_k_loop,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_only.py::test_compile_only_dot_mxfp,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_compile_only.py::test_signature_ordering,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_conversions.py::test_typeconvert_upcast,npu_or_frontend,original-default,15,8,7,0,0,0,0,0,0,0
python/test/unit/language/test_conversions.py::test_typeconvert_downcast,npu_or_frontend,original-default,17,8,9,0,0,0,0,0,0,0
python/test/unit/language/test_conversions.py::test_typeconvert_downcast_clamping,npu_or_frontend,original-default,30,0,30,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_scalar_overflow,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dtype_codegen,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_bin_op,npu_or_frontend,original-default,720,421,299,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_addptr,npu_or_frontend,original-default,24,22,2,0,0,0,0,0,0,0
